"Description","ParameterValue"
"min preserved",0.679246487867178
"max preserved",0.972733077905492
"mean change in probability for each additional length: ",-0.0130584271917066
"mean change in probability for each additional position (excluding  U-shape): ",-0.0111667110832201
"U-shape",0
