"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",1542.34046882844,0,1,1,0.425815137299715,3.33586909239936,NA,-2.16253217242742,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",2336.1808585186,793.840389690166,4.16629121377893e-173,4.16629121377893e-173,0.0721010968847986,4.30094218048692,NA,NA,0.0255733903714758,-0.543915907741566,NA
"preserved ~ pos",2340.43538608518,798.094917256746,4.96467358727106e-174,4.96467358727106e-174,0.0695533728942413,3.79777176946438,NA,NA,NA,-0.291815195846125,NA
"preserved ~ stimlen",2427.52586448844,885.185395660005,6.08742469468066e-193,6.08742469468066e-193,0.0220470828610959,4.27648801934303,NA,NA,NA,NA,-0.222997183104663
"preserved ~ 1",2468.54276471086,926.202295882428,7.5461752355553e-202,7.5461752355553e-202,0,2.51057699172914,NA,NA,NA,NA,NA
"preserved ~ CumPres",2469.7942275736,927.453758745163,4.03622323622016e-202,4.03622323622016e-202,0.000261949079786075,2.46020301840494,0.0190979796671705,NA,NA,NA,NA
