"","CumErr","CumPres","log_freq"
"McFadden",0.261177257630021,0.0355996309389083,0.0233084458516059
"SquaredCorrelation",0.187721747037604,0.0271509717919194,0.018118430973457
"Nagelkerke",0.333202415953757,0.0481924419483888,0.0321598593072859
"Estrella",0.223878772545108,0.0301303792786613,0.0196276947732824
