"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos","diff_CumErr+pos+log_freq"
"1","preserved ~ CumErr",0.837328369782858,3311.9572186655,0,-0.0510543062250696,-0.0520134237124801
"2","preserved ~ CumErr+pos",0.888382676007927,3284.93298352386,0.0510543062250696,0,-0.00095911748741051
"3","preserved ~ CumErr+pos+log_freq",0.889341793495338,3281.50365511125,0.0520134237124801,0.00095911748741051,0
