"","Df","Deviance","AIC"
"CumErr",1,3545.23521734761,3691.01536494181
"pos",1,3309.63766205723,3455.41780965142
"log_freq",1,3284.93298352386,3430.71313111805
"<none>",NA,3281.50365511125,3429.28380270545
