"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,61,61,61,NA,NA,NA,NA,NA,NA
"2",5,93,93,93,93,NA,NA,NA,NA,NA
"3",6,119,119,119,119,119,NA,NA,NA,NA
"4",7,113,113,113,113,113,113,NA,NA,NA
"5",8,148,148,148,148,148,148,148,NA,NA
"6",9,94,94,94,94,94,94,94,94,NA
"7",10,83,83,83,83,83,83,83,83,83
