"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos","diff_CumErr+pos+I(pos^2)","diff_CumErr+pos+I(pos^2)+log_freq"
"1","preserved ~ CumErr",0.983197592881272,2791.04354402851,0,-0.00213074751305553,-0.00827795785075069,-0.00861193927520065
"2","preserved ~ CumErr+pos",0.985328340394328,2752.07021315862,0.00213074751305553,0,-0.00614721033769516,-0.00648119176214512
"3","preserved ~ CumErr+pos+I(pos^2)",0.991475550732023,2720.51776190503,0.00827795785075069,0.00614721033769516,0,-0.000333981424449958
"4","preserved ~ CumErr+pos+I(pos^2)+log_freq",0.991809532156473,2710.07537419356,0.00861193927520065,0.00648119176214512,0.000333981424449958,0
