"","model","p_accounted_for","model_deviance","diff_CumErr+I(pos^2)","diff_CumErr","diff_CumErr+I(pos^2)+pos","diff_CumErr+I(pos^2)+pos+stimlen"
"1","preserved ~ CumErr+I(pos^2)",0.707230990465634,2909.67636048686,0,-0.00302030515783269,-0.0198297244381391,-0.0232391437425717
"2","preserved ~ CumErr",0.710251295623467,2909.73385043449,0.00302030515783269,0,-0.0168094192803064,-0.0202188385847391
"3","preserved ~ CumErr+I(pos^2)+pos",0.727060714903773,2894.48447593946,0.0198297244381391,0.0168094192803064,0,-0.00340941930443261
"4","preserved ~ CumErr+I(pos^2)+pos+stimlen",0.730470134208206,2884.36660278711,0.0232391437425717,0.0202188385847391,0.00340941930443261,0
