"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",2634.73705600611,0,1,0.999999999999914,0.0580888560235116,2.24017978500043,NA,-0.776644991760307,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",2694.93996410508,60.202908098976,8.45482473032711e-14,8.45482473032638e-14,0.0302996801858757,3.02767828925346,NA,NA,0.0242092883785551,-0.380629295122073,NA
"preserved ~ pos",2703.57924527356,68.8421892674587,1.12488607198466e-15,1.12488607198457e-15,0.0271217570415929,2.63882282511305,NA,NA,NA,-0.158644237752862,NA
"preserved ~ stimlen",2742.39238102581,107.655325019702,4.1970408691353e-24,4.19704086913494e-24,0.00904834066178662,2.9483303610799,NA,NA,NA,NA,-0.123926333895189
"preserved ~ CumPres",2746.54071639494,111.803660388834,5.27404241633155e-25,5.2740424163311e-25,0.00605665036836423,2.19319192567742,-0.101066432309875,NA,NA,NA,NA
"preserved ~ 1",2756.64446221844,121.907406212336,3.3739845489619e-27,3.37398454896161e-27,-4.45335067760128e-16,1.98205017516476,NA,NA,NA,NA,NA
