"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",3037.22103529765,0,1,1,0.0743667077246368,2.29153817920578,NA,-0.750045830339951,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",3151.18591532437,113.964880026719,1.78994932875128e-25,1.78994932875128e-25,0.0287080601012005,3.03232472847356,NA,NA,0.0230238917557364,-0.372085177104838,NA
"preserved ~ pos",3159.89377828523,122.672742987577,2.30118916377501e-27,2.30118916377501e-27,0.0260459038037409,2.65152811824861,NA,NA,NA,-0.159782535583564,NA
"preserved ~ stimlen",3198.90043273862,161.67939744096,7.79408121693523e-36,7.79408121693523e-36,0.0111100948702996,3.07441902154227,NA,NA,NA,NA,-0.138638933183814
"preserved ~ CumPres",3213.6231724455,176.402137147845,4.9517945827368e-39,4.9517945827368e-39,0.00364098584859864,2.1578323147876,-0.0686613826650576,NA,NA,NA,NA
"preserved ~ 1",3220.18590564206,182.964870344408,1.86072937425854e-40,1.86072937425854e-40,4.48456668643977e-16,1.9887458714449,NA,NA,NA,NA,NA
