"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,59,59,59,NA,NA,NA,NA,NA,NA
"2",5,94,94,94,94,NA,NA,NA,NA,NA
"3",6,118,118,118,118,118,NA,NA,NA,NA
"4",7,112,112,112,112,112,112,NA,NA,NA
"5",8,154,154,154,154,154,154,154,NA,NA
"6",9,93,93,93,93,93,93,93,93,NA
"7",10,85,85,85,85,85,85,85,85,85
