"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","CumPres","log_freq","stimlen"
"preserved ~ CumErr + CumPres + stimlen + log_freq",2753.96293425063,0,1,0.555567996685086,0.0287607557295868,2.50309826877714,-0.37329398259476,0.112440936903543,0.0887210737703428,-0.0483859244828543
"preserved ~ CumErr + CumPres + log_freq",2754.43059894324,0.467664692610924,0.791494501750061,0.439729014724542,0.0278005423333047,2.16576114263802,-0.38879295412088,0.100054849077554,0.0987958403673094,NA
"preserved ~ CumErr + CumPres + stimlen",2763.72576012403,9.76282587340393,0.00758628750736425,0.00421469855274345,0.0240285980074542,2.69728595406157,-0.392024228104374,0.114644306909357,NA,-0.0750731922317865
"preserved ~ CumErr + CumPres",2768.03660768733,14.0736734366997,0.00087890238537637,0.000488290037525294,0.0215297322709484,2.17693482600684,-0.421949181199788,0.0940709711528369,NA,NA
"preserved ~ 1",2812.59888895405,58.635954703424,1.85082013525867e-13,1.02825643477008e-13,-4.82011220245338e-16,2.24977485916169,NA,NA,NA,NA
