"model","deviance","deviance_explained","percent_explained","percent_of_explained_deviance","increment_in_explained"
"CumErr + CumPres + log_freq + stimlen",2639.21072109174,58.2717969877413,2.16022890221468,100,3.36023442784794
"CumErr + CumPres + log_freq",2641.16879007584,56.3137280036335,2.08764014692214,96.6397655721521,21.9075344573257
"CumErr + CumPres",2653.93470407984,43.5478139996412,1.61438725581235,74.7322311148264,20.8083801704072
"CumErr",2666.06012112917,31.4223969503041,1.16487861328851,53.9238509444192,53.9238509444192
"null",2697.48251807948,0,0,NA,0
