"","Df","Deviance","AIC"
"CumPres",1,3077.70415237164,3087.70415237164
"I(pos^2)",1,3009.80530738001,3019.80530738001
"pos",1,2992.12298919474,3002.12298919474
"log_freq",1,2989.24605508172,2999.24605508172
"stimlen",1,2987.38170228834,2997.38170228834
"<none>",NA,2977.75359760522,2989.75359760522
