"","model","p_accounted_for","model_deviance","diff_CumPres","diff_CumPres+I(pos^2)","diff_CumPres+I(pos^2)+pos","diff_CumPres+I(pos^2)+pos+log_freq"
"1","preserved ~ CumPres",0.746017683402898,3054.65296174638,0,-0.0548649474744553,-0.0766619728303183,-0.091127899444738
"2","preserved ~ CumPres+I(pos^2)",0.800882630877353,3019.57579513388,0.0548649474744553,0,-0.021797025355863,-0.0362629519702827
"3","preserved ~ CumPres+I(pos^2)+pos",0.822679656233216,3006.45164448766,0.0766619728303183,0.021797025355863,0,-0.0144659266144197
"4","preserved ~ CumPres+I(pos^2)+pos+log_freq",0.837145582847636,2987.38170228834,0.091127899444738,0.0362629519702827,0.0144659266144197,0
