"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","stimlen"
"preserved ~ CumPres + stimlen",3031.54523169351,0,1,0.999998700935705,0.119967099060114,2.2005707529402,0.478257463877728,-0.149034069094247
"preserved ~ CumPres",3058.65296174638,27.1077300528686,1.29906598287584e-06,1.29906429530561e-06,0.108111195522253,1.11177003007607,0.449781602633342,NA
"preserved ~ stimlen",3314.23368385621,282.688452162693,4.12080974576664e-62,4.12080439256983e-62,0.000467363210751099,2.10960464807694,NA,-0.027778426701532
