"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","I(pos^2)","pos"
"preserved ~ CumPres + I(pos^2) + pos",3014.45164448766,0,1,0.999999999747765,0.127700370946331,0.678999443785618,0.624126769995959,-0.066718593917923,0.345450854452235
"preserved ~ CumPres",3058.65296174638,44.201317258724,2.52235326371516e-10,2.52235326307893e-10,0.108111195522253,1.11177003007607,0.449781602633342,NA,NA
"preserved ~ I(pos^2) + pos",3120.88143014387,106.429785656211,7.74578948717691e-24,7.74578948522315e-24,0.0833214605108212,0.240575212919152,NA,-0.0599137133980239,0.769660409026893
