"Description","ParameterValue"
"min preserved",0.570641536788692
"max preserved",1.00384197172889
"mean change in probability for each additional length: ",-0.0148636119293702
"mean change in probability for each additional position (excluding  U-shape): ",0.0370075742459326
"U-shape",0
