"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos","diff_CumErr+pos+log_freq+I(pos^2)","diff_CumErr+pos+log_freq"
"1","preserved ~ CumErr",0.863759448198217,1275.27401744493,0,-0.000870498146489984,-0.00952508871921609,-0.0157268016066467
"2","preserved ~ CumErr+pos",0.864629946344707,1260.67354356745,0.000870498146489984,0,-0.00865459057272611,-0.0148563034601568
"3","preserved ~ CumErr+pos+log_freq+I(pos^2)",0.873284536917433,1249.93531818193,0.00952508871921609,0.00865459057272611,0,-0.00620171288743065
"4","preserved ~ CumErr+pos+log_freq",0.879486249804864,1253.65894394238,0.0157268016066467,0.0148563034601568,0.00620171288743065,0
