"","model","p_accounted_for","model_deviance","diff_CumErr+stimlen","diff_CumErr","diff_CumErr+stimlen+I(pos^2)","diff_CumErr+stimlen+I(pos^2)+log_freq"
"1","preserved ~ CumErr+stimlen",0.742930032365657,3059.67214982522,0,-0.0292026314491396,-0.126984453762637,-0.129666357881138
"2","preserved ~ CumErr",0.772132663814796,3076.74189810322,0.0292026314491396,0,-0.0977818223134974,-0.100463726431998
"3","preserved ~ CumErr+stimlen+I(pos^2)",0.869914486128294,3022.82128018723,0.126984453762637,0.0977818223134974,0,-0.00268190411850089
"4","preserved ~ CumErr+stimlen+I(pos^2)+log_freq",0.872596390246795,3008.56256051316,0.129666357881138,0.100463726431998,0.00268190411850089,0
