"","Df","Deviance","AIC"
"CumErr",1,1958.09412731554,2073.60986385035
"pos",1,1770.34180666695,1885.85754320176
"stimlen",1,1667.93915169364,1783.45488822845
"log_freq",1,1660.4812192671,1775.99695580191
"<none>",NA,1655.46958208298,1772.98531861779
