"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","pos","log_freq","stimlen"
"preserved ~ CumErr + pos + stimlen + log_freq",1772.98531861779,0,1,0.873843104375097,0.203780705005794,3.08945793641217,-1.47101570408925,0.425034656986353,0.0819946052129912,-0.156308441786825
"preserved ~ CumErr + pos + stimlen",1776.8640568742,3.87873825640713,0.143794637149699,0.125653952119383,0.200888682852242,3.28681939395375,-1.48067309546621,0.423405136664408,NA,-0.182851259496791
"preserved ~ CumErr + pos + log_freq",1787.91110893596,14.9257903181669,0.00057399196552638,0.000501578921041936,0.19657891746361,2.00064242490656,-1.4654110954202,0.389745610758327,0.117838316003208,NA
"preserved ~ CumErr + pos",1799.72493092601,26.7396123082156,1.56158979838131e-06,1.364584477178e-06,0.190082629363583,2.02557298704759,-1.47621471597036,0.375871801608896,NA,NA
"preserved ~ 1",2153.84032143077,380.85500281298,1.98786522568649e-83,1.73708231989319e-83,6.10764310088439e-16,2.71775312730104,NA,NA,NA,NA
