"","model","p_accounted_for","model_deviance","diff_CumPres","diff_CumPres+I(pos^2)","diff_CumPres+I(pos^2)+log_freq","diff_CumPres+I(pos^2)+log_freq+pos"
"1","preserved ~ CumPres",0.744480764371332,3081.06717543339,0,-0.0521993659334458,-0.0672461317136441,-0.105141699256112
"2","preserved ~ CumPres+I(pos^2)",0.796680130304778,3034.54593496882,0.0521993659334458,0,-0.0150467657801984,-0.0529423333226665
"3","preserved ~ CumPres+I(pos^2)+log_freq",0.811726896084976,3015.39549072278,0.0672461317136441,0.0150467657801984,0,-0.0378955675424681
"4","preserved ~ CumPres+I(pos^2)+log_freq+pos",0.849622463627444,3005.20838997022,0.105141699256112,0.0529423333226665,0.0378955675424681,0
