"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos","diff_CumErr+pos+stimlen+log_freq","diff_CumErr+pos+stimlen"
"1","preserved ~ CumErr",0.71804958220429,1449.30318587516,0,-0.133086526419961,-0.171948807488659,-0.173390641432812
"2","preserved ~ CumErr+pos",0.851136108624251,1416.63463234681,0.133086526419961,0,-0.0388622810686978,-0.0403041150128504
"3","preserved ~ CumErr+pos+stimlen+log_freq",0.889998389692949,1365.26654476666,0.171948807488659,0.0388622810686978,0,-0.00144183394415254
"4","preserved ~ CumErr+pos+stimlen",0.891440223637102,1379.58619714477,0.173390641432812,0.0403041150128504,0.00144183394415254,0
