"","Df","Deviance","AIC"
"CumErr",1,1605.73657738908,1672.06405905424
"CumPres",1,1418.04236694669,1484.36984861185
"stimlen",1,1390.97109195334,1457.2985736185
"log_freq",1,1379.58619714477,1445.91367880993
"<none>",NA,1365.26654476666,1433.59402643182
