"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+CumPres","diff_CumErr+CumPres+stimlen+log_freq","diff_CumErr+CumPres+stimlen"
"1","preserved ~ CumErr",0.71804958220429,1449.30318587516,0,-0.133086526419967,-0.17194880748866,-0.173390641432803
"2","preserved ~ CumErr+CumPres",0.851136108624257,1416.63463234681,0.133086526419967,0,-0.0388622810686932,-0.0403041150128362
"3","preserved ~ CumErr+CumPres+stimlen+log_freq",0.88999838969295,1365.26654476666,0.17194880748866,0.0388622810686932,0,-0.00144183394414299
"4","preserved ~ CumErr+CumPres+stimlen",0.891440223637093,1379.58619714477,0.173390641432803,0.0403041150128362,0.00144183394414299,0
