"Description","ParameterValue"
"min preserved",0.859444444444444
"max preserved",1.01277777777778
"mean change in probability for each additional length: ",-0.0164195962994691
"mean change in probability for each additional position (excluding  U-shape): ",NA
"U-shape",0
