"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,0.982758620689655,1,1,NA,NA,NA,NA,NA,NA
"2",5,0.968085106382979,0.968085106382979,1,0.98936170212766,NA,NA,NA,NA,NA
"3",6,0.965217391304348,0.982608695652174,0.973913043478261,0.965217391304348,0.947826086956522,NA,NA,NA,NA
"4",7,0.963302752293578,0.963302752293578,0.972477064220184,0.981651376146789,0.972477064220184,0.981651376146789,NA,NA,NA
"5",8,0.931972789115646,0.918367346938776,0.94671201814059,0.945578231292517,0.963718820861678,0.948979591836735,0.945578231292517,NA,NA
"6",9,0.9,0.872222222222222,0.894444444444444,0.933333333333333,0.877777777777778,0.933333333333333,0.927777777777778,0.922222222222222,NA
"7",10,0.896103896103896,0.928571428571429,0.883116883116883,0.88961038961039,0.896103896103896,0.928571428571429,0.883116883116883,0.902597402597403,0.883116883116883
