"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,55,55,55,NA,NA,NA,NA,NA,NA
"2",5,84,84,84,84,NA,NA,NA,NA,NA
"3",6,110,110,110,110,110,NA,NA,NA,NA
"4",7,109,109,109,109,109,109,NA,NA,NA
"5",8,149,149,149,149,149,149,149,NA,NA
"6",9,90,90,90,90,90,90,90,90,NA
"7",10,84,84,84,84,84,84,84,84,84
