"","Df","Deviance","AIC"
"CumErr",1,3127.6361682735,3133.6361682735
"log_freq",1,3018.12868600397,3024.12868600397
"stimlen",1,3014.01201086072,3020.01201086072
"<none>",NA,3002.55340613621,3010.55340613621
