Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),CumErr,stimlen,log_freq
preserved ~ CumErr + stimlen + log_freq,3010.553406,0,1,0.998873643,0.094243234,2.873365048,-0.547970692,-0.104739126,0.099755278
preserved ~ CumErr + stimlen,3024.128686,13.57527987,0.001127627,0.001126357,0.087446784,3.078338057,-0.557073647,-0.132806834,NA
preserved ~ 1,3215.065437,204.5120313,3.90E-45,3.89E-45,1.95E-16,1.745826136,NA,NA,NA
