"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",2460.50609515096,0,1,1,0.0721634654201512,2.03338382511907,NA,-0.714659159358864,NA,NA,NA
"preserved ~ stimlen",2534.93117491527,74.4250797643126,6.89920852665782e-17,6.89920852665782e-17,0.0307449822964071,3.49488980835983,NA,NA,NA,NA,-0.226576822039211
"preserved ~ (I(pos^2) + pos)",2566.68649605624,106.180400905282,8.77442973008873e-24,8.77442973008873e-24,0.0139012632867071,2.3679427933837,NA,NA,0.0145939125288137,-0.236173329215429,NA
"preserved ~ pos",2566.82100302243,106.314907871474,8.20372480890219e-24,8.20372480890219e-24,0.0126866538185879,2.15495540602583,NA,NA,NA,-0.106893481956286,NA
"preserved ~ 1",2587.02731113603,126.521215985068,3.35944106790243e-28,3.35944106790243e-28,-3.88828379201112e-16,1.73229158553953,NA,NA,NA,NA,NA
"preserved ~ CumPres",2588.33539072337,127.829295572406,1.74671139581905e-28,1.74671139581905e-28,0.000396694010720483,1.6833583526801,0.0277057063766905,NA,NA,NA,NA
