"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","pos"
"preserved ~ CumErr + pos",2106.0610681522,0,1,0.682760458020224,0.415430025730842,3.14432719468646,-1.77733274273499,-0.0787938007665482
"preserved ~ CumErr",2107.59404202477,1.53297387256771,0.464642523235257,0.317239541979776,0.412916276675624,2.84797607336151,-1.86035213388679,NA
"preserved ~ pos",2940.46860098302,834.407532830812,6.46705294584308e-182,4.41544803134486e-182,0.10858718231857,3.56146519724298,NA,-0.340827230794003
