"model","deviance","deviance_explained","percent_explained","percent_of_explained_deviance","increment_in_explained"
"CumErr + I(pos^2) + pos + log_freq",592.348218287563,256.034235686272,30.1791054832646,100,0.999420579361825
"CumErr + I(pos^2) + pos",594.907077129223,253.475376844612,29.8774892923975,99.0005794206382,4.99572842810458
"CumErr + I(pos^2)",607.697852227082,240.684601746752,28.3698231404224,94.0048509925336,0.575814199795275
"CumErr",609.172133712501,239.210320261334,28.1960475656786,93.4290367927383,93.4290367927383
"null",848.382453973835,0,0,NA,0
