"","Df","Deviance","AIC"
"CumErr",1,2632.73422888417,2818.89191942094
"pos",1,1918.55240214246,2104.71009267924
"I(pos^2)",1,1914.85545040429,2101.01314094106
"stimlen",1,1883.00421413014,2069.16190466691
"<none>",NA,1878.53358002084,2066.69127055761
