"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+I(pos^2)","diff_CumErr+I(pos^2)+pos","diff_CumErr+I(pos^2)+pos+log_freq"
"1","preserved ~ CumErr",0.882691899989028,609.172133712501,0,-0.00538250397804396,-0.0434407399029287,-0.0447200772615656
"2","preserved ~ CumErr+I(pos^2)",0.888074403967072,607.697852227082,0.00538250397804396,0,-0.0380582359248848,-0.0393375732835216
"3","preserved ~ CumErr+I(pos^2)+pos",0.926132639891957,594.907077129223,0.0434407399029287,0.0380582359248848,0,-0.00127933735863683
"4","preserved ~ CumErr+I(pos^2)+pos+log_freq",0.927411977250594,592.348218287563,0.0447200772615656,0.0393375732835216,0.00127933735863683,0
