"","Df","Deviance","AIC"
"CumErr",1,797.200487760677,850.969536419326
"I(pos^2)",1,607.471898063452,661.240946722101
"pos",1,605.648914359537,659.417963018186
"log_freq",1,594.907077129223,648.676125787872
"<none>",NA,592.348218287563,648.117266946212
