"Description","ParameterValue"
"min preserved",0.670883534136546
"max preserved",1.02991967871486
"mean change in probability for each additional length: ",-0.00827647853763697
"mean change in probability for each additional position (excluding  U-shape): ",-0.0284544075941753
"U-shape",0
