"","model","p_accounted_for","model_deviance","diff_CumErr+stimlen","diff_CumErr","diff_CumErr+stimlen+I(pos^2)","diff_CumErr+stimlen+I(pos^2)+log_freq"
"1","preserved ~ CumErr+stimlen",0.736622063708141,3059.67214982522,0,-0.0297168056052278,-0.129261084514593,-0.13219014031801
"2","preserved ~ CumErr",0.766338869313369,3076.74189810322,0.0297168056052278,0,-0.0995442789093655,-0.102473334712783
"3","preserved ~ CumErr+stimlen+I(pos^2)",0.865883148222734,3022.82128018723,0.129261084514593,0.0995442789093655,0,-0.00292905580341707
"4","preserved ~ CumErr+stimlen+I(pos^2)+log_freq",0.868812204026152,3008.56256051316,0.13219014031801,0.102473334712783,0.00292905580341707,0
