Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),CumErr,I(pos^2),pos,log_freq,stimlen
preserved ~ CumErr + I(pos^2) + pos + stimlen + log_freq,3255.644567,0,1,0.998516086,0.131615299,3.518055592,-0.708863901,0.048678945,-0.287113996,0.091833734,-0.158770251
preserved ~ CumErr + I(pos^2) + pos + stimlen,3268.670402,13.0258354,0.001484143,0.001481941,0.125817157,3.716515364,-0.720032557,0.049275783,-0.289887194,NA,-0.185741953
preserved ~ CumErr + I(pos^2) + pos + log_freq,3281.913716,26.26914983,1.98E-06,1.97E-06,0.121100671,2.341519717,-0.725993951,0.041241785,-0.260904029,0.12113481,NA
preserved ~ CumErr + I(pos^2) + pos,3307.836401,52.1918343,4.64E-12,4.63E-12,0.110319739,2.345937476,-0.746420573,0.04031612,-0.259803842,NA,NA
preserved ~ 1,3611.079436,355.4348699,6.58E-78,6.57E-78,-3.92E-16,1.658970318,NA,NA,NA,NA,NA
