"","Df","Deviance","AIC"
"CumErr",1,3195.26861935825,3451.22184328411
"stimlen",1,3023.04349117901,3278.99671510487
"I(pos^2)",1,3022.40396428943,3278.35718821529
"log_freq",1,3011.69154850701,3267.64477243287
"pos",1,3008.56256051316,3264.51578443902
"<none>",NA,2997.69134258658,3255.64456651243
