"","Df","Deviance","AIC"
"CumErr",1,1577.93650979056,1585.93650979056
"CumPres",1,1390.71921429608,1398.71921429608
"stimlen",1,1364.20715017099,1372.20715017099
"log_freq",1,1354.15930902541,1362.15930902541
"<none>",NA,1341.37408328164,1351.37408328164
