"Description","ParameterValue"
"min preserved",0.864044943820225
"max preserved",1.0123595505618
"mean change in probability for each additional length: ",-0.0154594080822106
"mean change in probability for each additional position (excluding  U-shape): ",NA
"U-shape",0
