"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+CumPres","diff_CumErr+CumPres+stimlen+log_freq","diff_CumErr+CumPres+stimlen"
"1","preserved ~ CumErr",0.769052251647134,1418.05980377338,0,-0.0994742284695729,-0.129252525533705,-0.134413556236399
"2","preserved ~ CumErr+CumPres",0.868526480116707,1386.84013231992,0.0994742284695729,0,-0.0297782970641318,-0.0349393277668264
"3","preserved ~ CumErr+CumPres+stimlen+log_freq",0.898304777180839,1341.37408328164,0.129252525533705,0.0297782970641318,0,-0.00516103070269458
"4","preserved ~ CumErr+CumPres+stimlen",0.903465807883533,1354.15930902541,0.134413556236399,0.0349393277668264,0.00516103070269458,0
