"","NagContributions","NagPercents"
"CumErr",0.0670879160939498,0.679990249942185
"CumPres",0.0138607668989709,0.140490074767303
"stimlen",0.0108533331056345,0.110007302669396
"log_freq",0.00685809865993415,0.0695123726211157
