"","Df","Deviance","AIC"
"CumErr",1,1500.93291596481,1600.73295661441
"pos",1,1258.97635163257,1358.77639228217
"log_freq",1,1256.55107810162,1356.35111875123
"I(pos^2)",1,1253.65894394238,1353.45898459198
"<none>",NA,1249.93531818193,1351.73535883153
