"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","log_freq","stimlen"
"preserved ~ CumErr + I(pos^2) + pos + log_freq",1351.73535883153,0,1,0.634621470947327,0.203842254994526,2.47959547786059,-1.5590611721752,-0.0317080605614794,0.442703384061101,0.110695015493412,NA
"preserved ~ CumErr + I(pos^2) + pos + stimlen + log_freq",1353.81824748397,2.08288865244367,0.352944546583028,0.223986187315359,0.203857799928619,2.42171439206755,-1.55895356557076,-0.0321054369681858,0.443967315309444,0.112244548480663,0.00794202246183851
"preserved ~ CumErr + I(pos^2) + pos",1355.52053630787,3.78517747633896,0.150681229250769,0.0956255433512745,0.19893378097159,2.47482249695437,-1.56422902291125,-0.0333335767338168,0.444601441690115,NA,NA
"preserved ~ CumErr + I(pos^2) + pos + stimlen",1356.99429845201,5.2589396204794,0.0721166876338445,0.0457667983860393,0.199104909302866,2.65942384839414,-1.5643175408067,-0.0319842482356101,0.440598586456333,NA,-0.025393791668909
"preserved ~ 1",1633.10245497801,281.367096146481,7.97831863896352e-62,5.06321231034551e-62,0,2.97332248301638,NA,NA,NA,NA,NA
