"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,55,55,55,NA,NA,NA,NA,NA,NA
"2",5,89,89,89,89,NA,NA,NA,NA,NA
"3",6,104,104,104,104,104,NA,NA,NA,NA
"4",7,105,105,105,105,105,105,NA,NA,NA
"5",8,144,144,144,144,144,144,144,NA,NA
"6",9,80,80,80,80,80,80,80,80,NA
"7",10,77,77,77,77,77,77,77,77,77
