"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","pos","stimlen:pos","I(pos^2)","stimlen:I(pos^2)"
"preserved ~ stimlen + pos",5587.77808100436,0,1,0.443641191938161,0.0492299370129558,0.569778253966356,-0.107596082061131,0.200505104854964,NA,NA,NA
"preserved ~ stimlen * pos",5588.77687024976,0.998789245398257,0.606897950769923,0.269244930264396,0.049548982182712,0.834783150432656,-0.14001560268059,0.110355203043914,0.0106879351597552,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",5589.08504131437,1.30696031001389,0.520232134246196,0.230796404121516,0.0494768119184281,0.668489600208177,-0.110265066604842,0.148997618622155,NA,0.00624152877862952,NA
"preserved ~ stimlen * (I(pos^2) + pos)",5591.90614535061,4.12806434625327,0.126941088131447,0.0563162956445621,0.0499630938228009,0.359940289981143,-0.0791197803779432,0.448605359519151,-0.0313557600953449,-0.0459509420818598,0.00554057783984173
"preserved ~ pos",5614.08160590383,26.3035248994684,1.94205775275572e-06,8.61576816245294e-07,0.0404224570967566,-0.141477011697686,NA,0.169155962939986,NA,NA,NA
"preserved ~ I(pos^2) + pos",5616.0847750846,28.306694080241,7.13311917589222e-07,3.16454549342977e-07,0.040424045023837,-0.135098044318912,NA,0.16503319347386,NA,0.000493147799157148,NA
"preserved ~ 1",5745.03170783832,157.253626833965,7.12539268135977e-35,3.16111770218589e-35,-3.12016645300712e-16,0.493247903240689,NA,NA,NA,NA,NA
"preserved ~ stimlen",5746.71292499085,158.934843986494,3.07423552792228e-35,1.36385751390608e-35,0.000148300824703977,0.590984073603204,-0.0126550522902363,NA,NA,NA,NA
