"Description","ParameterValue"
"min preserved",0.265241708660495
"max preserved",0.922713875542013
"mean change in probability for each additional length: ",-0.0252427946436583
"mean change in probability for each additional position (excluding  U-shape): ",0.0427343323228832
"U-shape",0
