"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","stimlen","log_freq"
"preserved ~ CumPres + stimlen + log_freq",5571.72761594863,0,1,0.554598083387376,0.061627965901299,0.632130090486498,0.314478727424144,-0.0799223365801008,0.0338627837116818
"preserved ~ CumPres + stimlen",5572.1661491874,0.438533238776472,0.803107565558461,0.445401916612624,0.0604516481566276,0.714214984018522,0.315394086477108,-0.0908022726833962,NA
"preserved ~ 1",5769.39698962099,197.66937367236,1.19300121620227e-43,6.6163618798459e-44,-3.11862614479033e-16,0.486264273310089,NA,NA,NA
