"","CumPres","stimlen","log_freq"
"McFadden",0.0330124147163546,0.00159021690344724,0.000711284526231371
"SquaredCorrelation",0.0433071331788474,0.00204180335267221,0.000932836842243027
"Nagelkerke",0.0433071331788474,0.00204180335267221,0.000932836842243027
"Estrella",0.0440403252103526,0.00210961757849483,0.000948765255615177
