"","Df","Deviance","AIC"
"CumPres",1,5344.27462042767,5756.80345597917
"stimlen",1,5172.28969318169,5584.81852873319
"log_freq",1,5160.96204605207,5573.49088160357
"<none>",NA,5157.19878039712,5571.72761594863
