"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+CumPres","diff_CumErr+CumPres+stimlen","diff_CumErr+CumPres+stimlen+log_freq"
"1","preserved ~ CumErr",0.957354614873755,1860.71936183185,0,-0.00942033789740571,-0.0108113581363174,-0.0110162801374594
"2","preserved ~ CumErr+CumPres",0.96677495277116,1833.06485094524,0.00942033789740571,0,-0.00139102023891169,-0.00159594224005366
"3","preserved ~ CumErr+CumPres+stimlen",0.968165973010072,1811.45154334906,0.0108113581363174,0.00139102023891169,0,-0.000204922001141972
"4","preserved ~ CumErr+CumPres+stimlen+log_freq",0.968370895011214,1803.94884741504,0.0110162801374594,0.00159594224005366,0.000204922001141972,0
