"","Df","Deviance","AIC"
"CumErr",1,2544.6219775757,2552.6219775757
"CumPres",1,1846.59182382115,1854.59182382115
"stimlen",1,1818.14996079509,1826.14996079509
"log_freq",1,1811.45154334906,1819.45154334906
"<none>",NA,1803.94884741504,1813.94884741504
