"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","CumPres","log_freq","stimlen"
"preserved ~ CumErr + CumPres + stimlen + log_freq",1813.94884741504,0,1,0.938009852840385,0.416536881778465,3.75473230815191,-1.74680962505852,0.231230825258552,0.0979900892915501,-0.162885097110662
"preserved ~ CumErr + CumPres + stimlen",1819.45154334906,5.50269593401981,0.063841746611643,0.0598841873442604,0.41354011675868,3.97299548670401,-1.75579424101382,0.229204107486432,NA,-0.192970513714591
"preserved ~ CumErr + CumPres + log_freq",1826.14996079509,12.2011133800443,0.00224161948487752,0.0021026611631341,0.410860004747285,2.5908507938189,-1.80053875044425,0.195403950482816,0.133127620407918,NA
"preserved ~ CumErr + CumPres",1839.06485094524,25.1160035301996,3.51664986270381e-06,3.29865222020596e-06,0.404876778232046,2.60080865141687,-1.82847918826494,0.181195029463316,NA,NA
"preserved ~ 1",2736.71648854602,922.767641130979,4.2029351494322e-201,3.94239458101658e-201,0,2.16986198883903,NA,NA,NA,NA
