"","CumErr","stimlen","log_freq"
"McFadden",0.0241067410267019,0.00787031323223205,0.00147458685416509
"SquaredCorrelation",0.0214974989886277,0.00705380814110183,0.00132172960002872
"Nagelkerke",0.0214974989886277,0.00705380814110183,0.00132172960002872
"Estrella",0.0218936826961409,0.00714407830711355,0.00133851528537443
