"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+stimlen","diff_CumErr+stimlen+log_freq"
"1","preserved ~ CumErr",0.8153224449216,2820.22842490338,0,-0.00809987543752233,-0.0107465251494487
"2","preserved ~ CumErr+stimlen",0.823422320359122,2807.20310948755,0.00809987543752233,0,-0.00264664971192641
"3","preserved ~ CumErr+stimlen+log_freq",0.826068970071049,2805.04784922602,0.0107465251494487,0.00264664971192641,0
