"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","stimlen","log_freq"
"preserved ~ CumErr + stimlen + log_freq",2813.04784922602,0,1,0.519397792038802,0.0501126432131828,2.55880910644218,-0.445064081214778,-0.0998931805171708,0.0387742150344266
"preserved ~ CumErr + stimlen",2813.20310948755,0.155260261534295,0.925306605703272,0.480602207961198,0.0490165265611771,2.62604203678785,-0.444256670383034,-0.109150146219949,NA
"preserved ~ 1",2904.12882101044,91.0809717844227,1.66731736682947e-20,8.66000958959176e-21,0,1.597117425724,NA,NA,NA
