"","Df","Deviance","AIC"
"CumErr",1,2939.70239965857,3357.78986426954
"pos",1,2873.42153159793,3291.50899620891
"I(pos^2)",1,2871.87659931657,3289.96406392755
"stimlen",1,2869.49373145595,3287.58119606693
"log_freq",1,2863.90352486692,3281.9909894779
"<none>",NA,2861.17745173548,3281.26491634645
