"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",2729.07125160405,0,1,0.999999124591955,0.054272940835632,1.6628634472783,NA,-0.561597808625333,NA,NA,NA
"preserved ~ (I(pos^2) + pos)",2757.13870038828,28.0674487842266,8.03953510570056e-07,8.03952806782685e-07,0.0446648842450355,2.43629090736653,NA,NA,0.0195276010368764,-0.359493281345783,NA
"preserved ~ pos",2761.97963909697,32.9083874929238,7.14553007940824e-08,7.14552382415372e-08,0.0423654475030427,2.14404394582949,NA,NA,NA,-0.186270899395509,NA
"preserved ~ stimlen",2799.07312420243,70.0018725983832,6.29921604726889e-16,6.29921053288449e-16,0.0254681378510621,2.84656557916433,NA,NA,NA,NA,-0.189956563344693
"preserved ~ CumPres",2827.41918373141,98.3479321273639,4.40573006942201e-22,4.40572621261046e-22,0.0131948810754059,1.68137370993444,-0.148721941624878,NA,NA,NA,NA
"preserved ~ 1",2849.31765182394,120.246400219896,7.7415149691072e-27,7.74150819212271e-27,3.70391919771133e-16,1.40698008447825,NA,NA,NA,NA,NA
