"","model","p_accounted_for","model_deviance","diff_CumErr+pos","diff_CumErr","diff_CumErr+pos+I(pos^2)","diff_CumErr+pos+I(pos^2)+stimlen"
"1","preserved ~ CumErr+pos",0.655912354755343,2882.36590131879,0,-0.0352492235944186,-0.0480473926048048,-0.0767399566795072
"2","preserved ~ CumErr",0.691161578349761,2887.38617303619,0.0352492235944186,0,-0.0127981690103862,-0.0414907330850885
"3","preserved ~ CumErr+pos+I(pos^2)",0.703959747360147,2874.48290512899,0.0480473926048048,0.0127981690103862,0,-0.0286925640747023
"4","preserved ~ CumErr+pos+I(pos^2)+stimlen",0.73265231143485,2863.90352486692,0.0767399566795072,0.0414907330850885,0.0286925640747023,0
