"","Df","Deviance","AIC"
"CumErr",1,1548.38686955287,1649.78306309514
"log_freq",1,1193.98624121104,1295.38243475331
"pos",1,1185.24180634679,1286.63799988906
"I(pos^2)",1,1180.94642312844,1282.34261667071
"<none>",NA,1177.93512120148,1281.33131474375
