"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","pos"
"preserved ~ CumErr + pos",4526.07878342244,0,1,0.903231802787813,0.0583396342445023,1.085332101867,-0.510302253846871,0.0528401879595691
"preserved ~ CumErr",4530.54610507113,4.46732164869263,0.107135507090775,0.0967681972121871,0.056065935761481,1.24094539548815,-0.441666754191435,NA
"preserved ~ pos",4659.14767401782,133.068890595378,1.27191342327456e-29,1.14883265429429e-29,0.0100648867913163,1.25078363068544,NA,-0.0852246134379457
